id,left (arch),left (os),left (compiler),right (arch),right (os),right (compiler),cosine,dice,euclidean,jaccard,lcs,levenshtein,simpson,weighted-jaccard
584,arm64,linux,gcc,arm64,windows,rs-sys,0.003940,0.003843,0.003359,0.003532,0.002628,0.002109,0.004261,0.002763
585,arm64,linux,go,arm64,linux,rs-pure,0.587718,0.615435,0.444515,0.532161,0.323299,0.235726,0.743334,0.341147
586,arm64,linux,go,arm64,linux,rs-sys,0.595425,0.622986,0.447636,0.537832,0.326972,0.238494,0.754728,0.343637
587,arm64,linux,go,arm64,linux,tgo,0.314006,0.310155,0.232483,0.257977,0.183331,0.137395,0.482498,0.176849
588,arm64,linux,go,arm64,windows,clang,0.761456,0.760145,0.506254,0.643617,0.377930,0.275602,0.965521,0.390488
589,arm64,linux,go,arm64,windows,gcc,0.038746,0.037306,0.032769,0.033533,0.024557,0.019143,0.042562,0.026159
59,amd64,darwin,gcc,arm64,linux,go,0.024619,0.023501,0.020538,0.021129,0.014898,0.011293,0.026651,0.016285
590,arm64,linux,go,arm64,windows,go,0.628553,0.658861,0.543274,0.631529,0.482804,0.401943,0.691726,0.470944
591,arm64,linux,go,arm64,windows,msvc,0.047920,0.045214,0.041288,0.040765,0.032397,0.026290,0.051710,0.033661
592,arm64,linux,go,arm64,windows,rs-pure,0.106206,0.108482,0.076440,0.096042,0.057454,0.043152,0.126196,0.056449
593,arm64,linux,go,arm64,windows,rs-sys,0.108596,0.110747,0.078143,0.097930,0.058775,0.044142,0.129054,0.057701
594,arm64,linux,rs-pure,arm64,linux,rs-sys,0.982515,0.981589,0.977790,0.979483,0.975430,0.972952,0.984920,0.974723
595,arm64,linux,rs-pure,arm64,linux,tgo,0.297354,0.280093,0.245975,0.244531,0.206144,0.163662,0.358664,0.198574
596,arm64,linux,rs-pure,arm64,windows,clang,0.673341,0.649678,0.550531,0.571592,0.428771,0.330717,0.767889,0.435514
597,arm64,linux,rs-pure,arm64,windows,gcc,0.029288,0.028356,0.024969,0.025887,0.019000,0.015188,0.031638,0.020604
598,arm64,linux,rs-pure,arm64,windows,go,0.458912,0.448040,0.373784,0.399903,0.254262,0.187062,0.514193,0.288076
599,arm64,linux,rs-pure,arm64,windows,msvc,0.035921,0.034104,0.031051,0.031017,0.024559,0.019932,0.038439,0.025787
